Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Questi dati vengono trattati temporaneamente?
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Questi dati sono richiesti per l'app o l'utente può scegliere se attivarne la raccolta?/Gli utenti possono scegliere se attivare la raccolta di questi dati
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Questi dati sono richiesti per l'app o l'utente può scegliere se attivarne la raccolta?/È richiesta la raccolta dei dati (gli utenti non possono disattivare la raccolta di questi dati)
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Funzionalità dell'app
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Analisi
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Comunicazioni dello sviluppatore
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Prevenzione di attività fraudolente, sicurezza e conformità"
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Pubblicità o marketing
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Personalizzazione
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Gestione dell'account
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Funzionalità dell'app
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Analisi
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Comunicazioni dello sviluppatore
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Prevenzione di attività fraudolente, sicurezza e conformità"
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Pubblicità o marketing
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Personalizzazione
PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Log relativi agli arresti anomali)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Gestione dell'account
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,true,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (Dati diagnostici)/Questi dati vengono raccolti, condivisi o entrambe le cose?/Raccolti"
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (Dati diagnostici)/Questi dati vengono raccolti, condivisi o entrambe le cose?/Condivisi"
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:PSL_DATA_USAGE_EPHEMERAL,,false,MAYBE_REQUIRED,Utilizzo dei dati e gestione (Dati diagnostici)/Questi dati vengono trattati temporaneamente?
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Utilizzo dei dati e gestione (Dati diagnostici)/Questi dati sono richiesti per l'app o l'utente può scegliere se attivarne la raccolta?/Gli utenti possono scegliere se attivare la raccolta di questi dati
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,true,SINGLE_CHOICE,Utilizzo dei dati e gestione (Dati diagnostici)/Questi dati sono richiesti per l'app o l'utente può scegliere se attivarne la raccolta?/È richiesta la raccolta dei dati (gli utenti non possono disattivare la raccolta di questi dati)
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,true,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Dati diagnostici)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Funzionalità dell'app
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,true,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Dati diagnostici)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Analisi
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Dati diagnostici)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Comunicazioni dello sviluppatore
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (Dati diagnostici)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Prevenzione di attività fraudolente, sicurezza e conformità"
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Dati diagnostici)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Pubblicità o marketing
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Dati diagnostici)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Personalizzazione
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Dati diagnostici)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Gestione dell'account
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Dati diagnostici)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Funzionalità dell'app
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Dati diagnostici)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Analisi
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Dati diagnostici)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Comunicazioni dello sviluppatore
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (Dati diagnostici)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Prevenzione di attività fraudolente, sicurezza e conformità"
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Dati diagnostici)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Pubblicità o marketing
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Dati diagnostici)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Personalizzazione
PSL_DATA_USAGE_RESPONSES:PSL_PERFORMANCE_DIAGNOSTICS:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Dati diagnostici)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Gestione dell'account
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Questi dati vengono raccolti, condivisi o entrambe le cose?/Raccolti"
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Questi dati vengono raccolti, condivisi o entrambe le cose?/Condivisi"
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Questi dati vengono trattati temporaneamente?
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Questi dati sono richiesti per l'app o l'utente può scegliere se attivarne la raccolta?/Gli utenti possono scegliere se attivare la raccolta di questi dati
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Questi dati sono richiesti per l'app o l'utente può scegliere se attivarne la raccolta?/È richiesta la raccolta dei dati (gli utenti non possono disattivare la raccolta di questi dati)
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Funzionalità dell'app
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Analisi
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Comunicazioni dello sviluppatore
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Prevenzione di attività fraudolente, sicurezza e conformità"
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Pubblicità o marketing
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Personalizzazione
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Gestione dell'account
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Funzionalità dell'app
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Analisi
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Comunicazioni dello sviluppatore
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Prevenzione di attività fraudolente, sicurezza e conformità"
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Pubblicità o marketing
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Personalizzazione
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_PERFORMANCE:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Altri dati sulle prestazioni dell'app)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Gestione dell'account
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (File e documenti)/Questi dati vengono raccolti, condivisi o entrambe le cose?/Raccolti"
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (File e documenti)/Questi dati vengono raccolti, condivisi o entrambe le cose?/Condivisi"
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Utilizzo dei dati e gestione (File e documenti)/Questi dati vengono trattati temporaneamente?
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Utilizzo dei dati e gestione (File e documenti)/Questi dati sono richiesti per l'app o l'utente può scegliere se attivarne la raccolta?/Gli utenti possono scegliere se attivare la raccolta di questi dati
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,Utilizzo dei dati e gestione (File e documenti)/Questi dati sono richiesti per l'app o l'utente può scegliere se attivarne la raccolta?/È richiesta la raccolta dei dati (gli utenti non possono disattivare la raccolta di questi dati)
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (File e documenti)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Funzionalità dell'app
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (File e documenti)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Analisi
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (File e documenti)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Comunicazioni dello sviluppatore
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (File e documenti)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Prevenzione di attività fraudolente, sicurezza e conformità"
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (File e documenti)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Pubblicità o marketing
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (File e documenti)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Personalizzazione
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (File e documenti)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Gestione dell'account
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (File e documenti)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Funzionalità dell'app
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (File e documenti)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Analisi
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (File e documenti)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Comunicazioni dello sviluppatore
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (File e documenti)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Prevenzione di attività fraudolente, sicurezza e conformità"
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (File e documenti)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Pubblicità o marketing
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (File e documenti)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Personalizzazione
PSL_DATA_USAGE_RESPONSES:PSL_FILES_AND_DOCS:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (File e documenti)/Perché vengono condivisi questi dati utente? Seleziona tutte le risposte applicabili./Gestione dell'account
PSL_DATA_USAGE_RESPONSES:PSL_USER_INTERACTION:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,true,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (Interazioni con l'app)/Questi dati vengono raccolti, condivisi o entrambe le cose?/Raccolti"
PSL_DATA_USAGE_RESPONSES:PSL_USER_INTERACTION:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (Interazioni con l'app)/Questi dati vengono raccolti, condivisi o entrambe le cose?/Condivisi"
PSL_DATA_USAGE_RESPONSES:PSL_USER_INTERACTION:PSL_DATA_USAGE_EPHEMERAL,,false,MAYBE_REQUIRED,Utilizzo dei dati e gestione (Interazioni con l'app)/Questi dati vengono trattati temporaneamente?
PSL_DATA_USAGE_RESPONSES:PSL_USER_INTERACTION:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Utilizzo dei dati e gestione (Interazioni con l'app)/Questi dati sono richiesti per l'app o l'utente può scegliere se attivarne la raccolta?/Gli utenti possono scegliere se attivare la raccolta di questi dati
PSL_DATA_USAGE_RESPONSES:PSL_USER_INTERACTION:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,true,SINGLE_CHOICE,Utilizzo dei dati e gestione (Interazioni con l'app)/Questi dati sono richiesti per l'app o l'utente può scegliere se attivarne la raccolta?/È richiesta la raccolta dei dati (gli utenti non possono disattivare la raccolta di questi dati)
PSL_DATA_USAGE_RESPONSES:PSL_USER_INTERACTION:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,true,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Interazioni con l'app)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Funzionalità dell'app
PSL_DATA_USAGE_RESPONSES:PSL_USER_INTERACTION:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,true,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Interazioni con l'app)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Analisi
PSL_DATA_USAGE_RESPONSES:PSL_USER_INTERACTION:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilizzo dei dati e gestione (Interazioni con l'app)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Comunicazioni dello sviluppatore
PSL_DATA_USAGE_RESPONSES:PSL_USER_INTERACTION:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilizzo dei dati e gestione (Interazioni con l'app)/Perché vengono raccolti questi dati utente? Seleziona tutte le risposte applicabili./Prevenzione di attività fraudolente, sicurezza e conformità"
